category,title_clean,artist_clean,lyrics_devanagari,line_count,char_count,script_style_original,script_style_cleaned,transliterated
romanized,Nepali Superman,Mc Flo,"मा तिम्रो सुपर मन
हुना चाहन्छु
मा तिम्रो सुपर मन
मा तिम्रो लागी आकाश को जुन तारा
ल्याउन सक्दिन टिपेर, तारा मा
थचाइन किना हो माया मा तिमी लाई
गरी रहन्छु
तिम्रै बाटो मा पार्की, चोकै मा बसी
त्येई तिम्रो केफ मा जहा खान्छु कोफी
अठेनौ तिमी ता हिजो रा अस्ती
आजा नी मलाई ता हेरनौ फर्की
मेरो मेसेन्जर चट पानी ब्लक एक्सए
अरु गुनासो धेरै एक्सए तारा
रीसै बस्न मा सक्दिन तिमी संग
राखेछु सजारा मुटु वित्रा
तिम्रो लागी मा कोर्दै छु पत्र
मेरो माया लाई खोलेर पढा
मा तिम्रो जीवन को एक मात्र हेरो हो मा
आयेर बसा तिमी मा संग
मा तिम्रो सुपर मन
हुना चाहन्छु
मा तिम्रो सुपर मन",22,553,romanized,devanagari,1
romanized,Speech By A Nepali Teenager,MC Rage,"डाँकिदैछ प्रलयग्नि आगो, क्रान्ति कै
सबै भन्दो ठूलो प्रस्न सान्ती खै
फ्याग्स लेफ्ट नेपाल लाइक ""नोन-स्टप डिके
थे शुद'ए पवेद ए पाठ फोर यूएस, नोट स्टप थे वे
थाउट वे कड माके ए चाँगे, बुट थे एआईएन'टी लेटिन यूएस
सेल्फिश प्रिक्स, जेनरेटेड हाते इन यूएस
जता हेरे नी त्यस्तै , एएलएल योउ सी आइएस क्राइ एन्ड पाइँ
सहिद को बलिदान याद गर , डिड थे दिए इन वैं ?
नाह, वे क्यान्ट लेटेम, आई मियन होव वे कड वे लेट'इएम
फेल्लो सिटिजन्स ओएफ नेपाल जी-गो गेट'इएम
स्टे टोगेथर, हाते टोगेथर, क्रिएट टोगेथर",11,475,romanized,devanagari,1
nepali,Nepali Angreji,Sajjan Raj Vaidya,"के के गरेर जहाज चढेर
अनौठो सहरमा बस्ती बसाएँ
टाक्राक र टुक्रुक गर्दा गर्दै
दुई चार वटा त्यही गाना बनाएँ
सोध्न त्यसबारे म भनिहाल्छु क्यारे
के गरी यहाँ आएँ म
तलाई चाहिँ मेरो अङ्ग्रेजी कै चासो छ
त्यस्तै हो भने न सुन्न त कुरो
रोएर नै होलास् तँ बुढो
नत्र भने चाहिँ किचकिच नगरी
रमाइलो तालले सुन् कथा मेरो
सोध् बरु मलाई अनि भन्छु तलाई
के कसो कहाँ गएँ म
तलाई चाहिँ मेरो अङ्ग्रेजी कै चासो छ
ढाका नलाए नेपाली होइन रे
र दोहोरी नगए परदेशी
म नेपाली हुन तेरै अनुमति
चाहिने पो मलाई भनेछि
नेपाल नबसे नेपाली होइन रे
गाउँदा खेरि मुख नबटर्नु अरे
यो भन त्यो भन"" सोध्यो चाहिँ कोल्ले?
मुख बटारेरै गीत गाउनु छ रे",22,589,mixed,devanagari,0
nepali,Nepali Ho,Raila Roka,"हिमाल पहाड तराई हाम्रै हो
रातो सेतो रंगै हो
चन्द्र सुर्य हाम्रै हो
ढाका टोपी हाम्रै हो
दौरासुरुवाल हाम्रै हो
सगरमाथा हाम्रै हो
लुपिलेखा हाम्रै हो
गर्व गर्छु म नेपाली हो
हो है हो (हो है हो है हो)
हो है हो है हो
हो है हो (हो है हो है हो)
हो है हो है हो
बिर गोर्खाली नि हामि हो (बिर गोर्खाली)
ढाका टोपी सिरमा लगाको (ढाका टोपी)
खुकुरी भिडी हिडेको
संसारको मनमा बसेको
तिस्था देखि कांगड़ा सम्म हाम्रै हो (हाम्रै हो)
पृथ्वी बाजेले पहिले बनाको (बनाको)
थाछैन मेरो साथि भाई कता गो? (कता गो, थाछैन)
जहाँ भए पनि आखिर तिम्रो मन त नेपाली हो
रैला पारामा हिड्ने हो
द्यौसी भैलो पनि खेल्ने हो
कानमा जमरा
निधारमा टिका आशिस आमा बुवाको
सिरमा लालिगुरास आहा कति सुहाको
त्यसैले मन बद्लिदैन
समय बदले पनि हाम्रो मन बद्लिदैना
दुई हात जोडी नमस्ते! नेपालि हो
नेपाल सगरमाथाको मुटुमा खोज
तिन करोड नेपाली एउटै नेपाल हो
नेपालि माटो नेपाली सबैको (नेपालि सबैको)
हामि नेपाली नेपालको रक्षक हो (नेपाली रक्षक हो)
हामि सबैको नेपाल आमा हो
जन्मिए यहि माटोमा म, जल्छु यहि माटोमा म
नेपाल मेरो छातीमा छ, स्वोर्ग हो यो छाड्दिन म",35,981,mixed,devanagari,0
nepali,Nepali Ho,1974 AD,"जसो गर, जे भन, जता सुकै लैजाउ मलाई
यो मन त मेराे नेपाली हाे
जसो गर, जे भन, जता सुकै लैजाउ मलाई
यो मन त मेराे नेपाली हाे
मलाई गर्भ छ, हाम्रो पुर्खाले
कति व्यर्थाहरु सहेर?
कति व्यर्थाहरु सहेर?
इतिहासमा कथा त लेखेकै छ
जसो गर, जे भन, जता सुकै लैजाउ मलाई
यो मन त मेराे नेपाली हाे
न नै लडाईको मैदानबाट भागी दिन्छ
न त सूनको तराजुमा बेखिदिन्छ
न नै लडाईको मैदानबाट भागी दिन्छ
न त सूनको तराजुमा बेखिदिन्छ
आफ्नै कर्ममा अटल रहने
आफनै पसिनामा बिस्वास राख्ने
यो मन त मेरो नेपाली हो!
न नै आरुको भरोशामा बाची दिन्छ
न त आफ्नो अधिकारलाई लुट्न दिन्छ
न नै आरुको भरोशामा बाची दिन्छ
न त आफ्नो अधिकारलाई लुट्न दिन्छ
हिमाल झैँ चम्किलो सफा छ छाती
आकाश जाहाँ फिजिएको बिचार छ बिशाल
यो मन त मेरो नेपाली हो!",24,678,mixed,devanagari,0
nepali,ROSÉ - On The Ground,Genius Nepali Translations (नेपाली आनुवाद),"मेरो जिवन जादु सरह भएको छ, हेर्दा कति राम्रो देखिन्छ
भुईमा गद्दा र भित्तामा प्वाल हुने गर्थ्यो
जब चाहन्छु, अचानक पाउँछु
अनि पछि थहा पाउँछु कि ति सुनहरु प्लास्टिक मात्र हुन् भनेर
हरेक दिन, हरेक रात
म तिमी र मेरो बारेमा सोँच्दैछु
हरेक दिन, हरेक रात
मैले जीवनभर काम गरें
केवल सही हुन, बस यति सोँच्न
मलाई हेर, म कहिलै तल झर्दिन
मैले जीवनभर काम गरें
केवल आकाश छुन, केवल महसुस गर्न कि
मलाई चाहिने सबै कुरा
मलाई चाहिने सबै कुरा जमीनमै छ
जमीनमै
मलाई चाहिने सबै कुरा जमीनमै छ
अहँ, तर तिनीहरूले मलाई सुन्दैनन्
(हो, जे माथि जान्छ, त्यो तल आउनै पर्छ)
अहँ, तर तिनीहरूले मलाई सुन्दैनन्
(तिम्रो समय सकिन लागिसक्यो)",20,599,mixed,devanagari,0
romanized,Tyo mann ma,Ashit Ryee sikkimese,"कुनै दिन माया पलाउने चा ×2
तारा वन्न सक्दिन त्यो दिन
तारा वन्न सक्दिन त्यो दिन
मेरो मान मा तिमिनै हुन्चौ हुदैनौ×2
कुनै दिन माया पलाउने चा....",5,141,romanized,devanagari,1
nepali,Saunko Jhari Bani,Narayan Gopal,"साउनको झरी बनि, तिमी आऊ
न।
मेरो मनको अन्धेरिमा
जुन छाऊ न।
हो
बाफ़िएर आज हिमाल
किन रोएछ।
कता-कता मनभित्र, घाऊ
दुखेछ।
बिहानी भो किरण संगै
तिमी आऊ न।
छातीभित्र मुटु बोल्छ
तिमी आऊ न।
मेरो मनको अन्धेरिमा
जुन छाऊ न।
साउनको झरी बनि।
हो
निसास्सिएको पारी
पाखा, कति धुमैलो।
डुब्दै जाने घामले हो
कि, डढेलो लागेको।
भन्ज्यांग अनि पाखा
भन्छ, तिमी आऊ न।
फूलहरु रोई भन्छ, तिमी
आऊ न।
मेरो मनको अन्धेरिमा
जुन छाऊ न।
साउनको झरी बनि।",28,413,mixed,devanagari,0
nepali,Ma Chahi Nepali,Samriddhi Rai,"आज कति भागमा फुट्यौं हामी?
जातकै कुरामा अल्झी जानी-नजानी
जब संसार मिलिजुली एकै हुँदैछ
केटा कुन जातको मनपराईस्?
केटी कुन थरको तैले भगाईस्?
किन यहाँ सबैलाई राज्य चाहिएको छ?
को मतवाली, को बाहुन क्षेत्री?
के हामी एकै होइनौं र?
त्यसैले जातभात छुट्याउनेलाई
तिमी यही भन्ने गर
तिमी को हो थाहा भएन
म चाहिँ नेपाली
तिमी को हो थाहा भएन
म चाहिँ नेपाली
मानिस ठूलो जातले हुन्न यहाँ
दिल नै ठूलो सबै थोक भन्दा
मुना-मदन आए गए, कसैले केही बुझेन
सगरमाथा कसको भागमा पर्ला फेरि?
बुद्ध बाड्ने कसको जिम्मेवारी
नेपाल, हाम्रो प्यारो देशमा
हिंसा अब चाहिएन",21,528,mixed,devanagari,0
nepali,Nepali,Albatross,"मान्छेको बोली बन्दुकको गोली
झुक्याएका छन् जथाभाबी बोली
सुनेर बसेकाछौँ नेपाली
बाजेले भन्थे कलियुग लागे
देउताले नि मन्दिर छोडी भागे
बुझेर बसेकाछौँ नेपाली
बुझेर बसेकाछौँ नेपाली
बस्दिन पापी यो शहरमा
बिरानो लोभी यो नगरमा
मान्छेको बोली बन्दुक को गोली
सजाय होला आज या भोलि
कुरेर बसेकाछौँ नेपाली
कसैले केहि गर्दिए नि हुन्थ्यो
कोही कहिँ जागे नि हुन्थ्यो
पर्खेर बसेकाछौँ नेपाली
पर्खेर बसेकाछौँ नेपाली
बस्दिन पापी यो शहरमा
बिरानो रोघी यो नगरमा
बस्दिन पापी यो शहरमा
मुक्ति देऊ मलाई",20,469,mixed,devanagari,0
nepali,Aam Nepali Buwa,Balen,"घाम झुल्किन्छ म हिड्छु खोज्न परिवार को हासो
खुसी कुल्चिन्छु त्यो स्वार्थ एकमात्र यो धर्म बुझी
यहि हो मेरो कर्म सोची, किलकिले हासोको खोजी
टिलटिले आसुलाइ पुछी, बिहान बेलकाको भुजा रोटि
कार्यालय नै पुजा कोठी, दुई पैसा जोगिने हो कि
त्यही आशामा दौडिन्छु, बेलका सम्मै होमिन्छु
हाकिम हरुको इशारा मा पुगिन्छ कि किनार मा
भौसागर लाई तरेर यहि लेख्याछ निधार मा
केही भएन पढेर चाप्लुसिको संसार मा
सकिँदैन लडेर मनखुशि यो ब्यापार मा
बेइमानी कै चल्दो रैछ, रुखमा पैसा फल्दो रैछ
इमान्दारी बेच्नेको, टाउको मा अरुको टेक्ने को
आफुलाइ मात्र देख्ने को, झुठा कुरा लेख्ने को
बेसहारा लाई हेप्ने को, मैले त्यो सकिन कहिले
समाज नै दुस्मन भो अहिले, छोरा किचकिच गर्छ जहिले
हातहात मा आइफोन छ भन्नुस के दिनुभो तपाइले?
छोरा गर्छ हेला मलाइ केही दिन सकिन रे
बुढी जान्छे मुटु जलाइ लायक श्रीमान होइन रे
हाकिम मलाइ हेप्ने गर्छ थुक्क पाजी भनेर
नेताहरुले छेक्ने गर्छ देउ चन्दा गनेर
छोरा गर्छ हेला मलाइ केही दिन सकिन रे
बुढी जान्छे मुटु जलाइ लायक श्रीमान होइन रे
हाकिम मलाइ हेप्ने गर्छ थुक्क पाजी भनेर
नेताहरुले छेक्ने गर्छ देउ चन्दा गनेर",24,994,mixed,devanagari,0
romanized,Central Cee Doja REMIX (Nepali Version),Cute Boka,"इन्ट्रो [लिल रक लुक]
हुक [लिल रक लुक]
होव क्यान आई बे ए क्युट बोका
आइएफ आई लव योउ ब्याक
आइएफ ए काखी त्र्यिना फुल मे
एक रात एक ठ्याक सेन्ड हर होम ब्याक
थेम बिचेस वाना गेट क्लोज टो मे
टोल्ड हर गो एएसके माइ फ्रेन्ड्स
रज्जो रुकी पाब्लो एबी अनुप
गाङ गाङ गाङ
वेर्से [लिल रक लुक]
लगाउ च्यानल, डो एएलएल युर नेल्स
अनी चाइ लाँचु मा दाते मा
उद दै चु प्लेन मा, टिकेट्स चा साले मा
टुर हाँदै चा ओटा स्टेट मा
फिचर लाई क्याश या गर्देउ ट्रान्सफर
कन्ट्र्याक्ट चाइ पठाउछु मेल मा
केटी को मन, चोरेको आरोप मा
पारे मा 6 महिना जेल मा",19,509,romanized,devanagari,1
nepali,OH MY GIRL - 살짝 설렜어 (Nonstop),Genius Nepali Translations (नेपाली आनुवाद),"ओएच नो, येआह येआह
गोइङ ननस्टप
ओह नाना
यसको केहि अर्थ छैन, हैन? ययायाय
हामी बिच थाहा नभएको कुरा केहि छैन
त्यो त स्पष्टै छ, नानानाना
लाइक नानानाना
हामी बिच कुराहरु गोप्य राख्नु कुनै आवश्यक छैन
हामीले देख्नुपर्ने सबै देखिसकेको छौँ
हि, हि, वेक बडी
लाइक थेम बर्निङ एन्ड बर्न बुट श
आज, भोलि र हरेक दिन फरक तर थाहा भएका लुगाहरूले
तिमी फरक देखिन्छौ हु
मेरो लाजलाग्ने पलहरु सबै तिमीलाई थाहा छ
येआह, त्यस्तो मलाई कहिल्यै हुने छैन
नेवर एवर त्यो त्यस्तै नै रहोस्
यदि एक दिन उजाड टापुमा
हामी फस्यौँ भने
र त्यहाँ हामी दुई मात्र बाँकी थियौँ भने
तिमी के गर्थ्यौ?
सोँच्दा पनि डर लाग्छ
मेरो अनुहार निराश देखिएपनि
म तिमीलाई यो कुरा भन्न सक्दिन कि",23,627,mixed,devanagari,1
romanized,Cover song nepali sad version,Ashit Ryee sikkimese,"माया गर्थे सँधै तिमीलाई
आझ चु मा यहा एकुलाई
गयोउ तिमी मलाई चोडी
संघै बश्ने कसम खुयै....
अबा ता भुलेउ होला मलाई
मा भुल्ने चैन तिमीलाई
.
.
साचो माया गर्ने हरले
धोखा मात्रै पौडो रेइचा
जसले धेरै चोटा दिन्चा
उसकै याद अव्दो रेइचा...
.
.
.
मा ता सँधै तिम्रो नै हु
मुटु तिमीलाई सुम्पी सके
टिमले चोडे ढेकी मलाई
मा ता जेउदै मारी सके
.
.
तिमी ताडा हुदा.....
मलाई याध आयी रन्थ्यो
तिमीलाई सम्झी आखा बाटा
आशु सँधै झरी रन्थ्यो....
हुम..... हुम.... हम...
...
माया गर्थे सँधै तिमीलाई...",28,469,romanized,devanagari,1
romanized,0 To 100 (Nepali Remix,Emikid,"आई राप थिस इन माइ माइन्ड निग्ग
योउ वन्न व्राप थिस एएस ए ग्राइन्ड निग्ग
शीत, योउ वान्ट सक्सेस ओभरनाइट निग्ग?
आई काउल्डन'टी गेटिङ सक्सेस इवेन आई कीप वर्किङ ओवर नाइट निग्ग!
मलाई गर्नु चैन ओभरक्राइम निग्ग
आईएमए हाइ लाइक आईटीएस माइ सोबर टाइम निग्ग
मा हैन स्टार तारा चम्किलो फ्लेयर मन
बच्न लाउन पुगेकै एक्सए के गर्नु पैसा को येदी जानी नै हो बारेह्याण्ड
आई'मा ब्रान्ड मन
अहिले ना भये पानी मेरो हाइप तेत्रो
गर्न सक्छु जाति तैले सोचेको चास बन्न लाग्छ नाइट नेल्लो
तेरो बोली ठूलो मुख सानो कसरी दिनचास अरु लाई अबा बीजे
ता अक्दाम फनी जोनी लेवर को बाउ ह्नेग्नेग डीजे
ता मार मेट घर जाउ मा अक्कै चोटी खाने तलाई शार्क को हजुर बाउ
हुना ता भनलास हजुर बाउ पुगे सके होलान 80
तारा तेरो हजुर बाउ को पारा याउङ थुग जस्तै 30
आइजा तेरो सबै दात बच्चा झर्छ मात्र 32
मेरो कुकुर को मुख तेरो मुटो को अबा 4 पिस",18,777,romanized,devanagari,1
