roman,devanagari
Ankha Haru Sankaunche Jhimkaudai,आँखाहरू सन्काउछे झिम्काउँदै
Malai Ramailo Lagcha,मलाई रमाइलो लाग्छ
Malai Ramailo Lagcha,मलाई रमाइलो लाग्छ
Jali Rumal Chadera Janera,जाली रुमाल छाडेर जानेले
Jhuto Maya Layera Jane Le,झूटो माया लाएर जानेले
Pagal Banaki Che Ghayal Banaki Che,पागल बनाकी छे घायल बनाकी छे
Malai Pagal Banaki Che Ghayal Banaki Che,मलाई पागल बनाकी छे घायल बनाकी छे
Sanjha Pakha Chautari Ma,साँझपख चौतारीमा
Budha Pakha Bhet Huda,बुढापाका भेट हुँदा
Basilathe Bahnchan Malai,भइस् लाठे भन्छन मलाई
Sanjha Pakha Chautari Ma,साँझपख चौतारीमा
Budha Pakha Bhet Huda,बुढापाका भेट हुँदा
Basilathe Bahnchan Malai,भइस् लाठे भन्छन मलाई
Buhari Ko Gharma Khacho Cha,बुहारीको घरमा खाँचो छ
Dharo Dharma Yo Kura Sancho Cha,धरोधर्म यो कुरा साँचो छ
Buhari Ko Gharma Khacho Cha,बुहारीको घरमा खाँचो छ
Dharo Dharma Yo Kura Sancho Cha,धरोधर्म यो कुरा साँचो छ
Timilai Nalai Bhachaina,तिमीलाई न ल्याई भा छैन
Timilai Nalai Bhachaina,तिमीलाई न ल्याई भा छैन
Tarki Tarki Hidera Jane Le,तर्कीतर्की हिँडेर जानेले
Farki Farki Hasera Herne Le,फर्कीफर्की हाँसेर हेर्नेले
Pagal Banaki Che Ghayal Banaki Che,पागल बनाकी छे घायल बनाकी छे
Malai Pagal Banaki Che Ghayal Banaki Che,मलाई पागल बनाकी छे घायल बनाकी छे
Maski Maski Hidera Jane Le,मस्कीमस्की हिँडेर जानेले
Musu Musu Hasera Herne Le,मुसुमुसु हासेर हेर्नेले
Pagal Banaki Che Ghayal Banaki Che,पागल बनाकी छे घायल बनाकी छे
Malai Pagal Banaki Che Ghayal Banaki Che,मलाई पागल बनाकी छे घायल बनाकी छे
Biteka kurale,बितेका कुराले
kehi chota lagda,केही चोट लाग्दा
timi tadha huda,तिमी टाढा हुँदा
dherai dukha lagcha,धेरै दुःख लाग्छ
malai jastai timilai pani,मलाई जस्तै तिमीलाई पनि
testai huna sakcha,त्यस्तै हुन सक्छ
malai jastai timilai pani,मलाई जस्तै तिमीलाई पनि
testai huna sakcha,त्यस्तै हुन सक्छ
meri mayalu meri mayalu,मेरी मायालु मेरी मायालु
meri mayalu meri mayalu,मेरी मायालु मेरी मायालु
sapana le saath dida,सपनाले साथ दिँदा
sangai base jasto lagcha,संगै बसे जस्तो लाग्छ
sapana le saath dida,सपनाले साथ दिँदा
sangai base jasto lagcha,संगे बसे जस्तो लाग्छ
bipanale jhaskai dida,विपनाले झस्काइ दिँदा
chota ajhai balji dincha,चोट अझै बल्झिदिन्छ
bipanale jhaskai dida,विपनाले झस्काइ दिँदा
chota ajhai balji dincha,चोट अझै बल्झिदिन्छ
Biteka kurale,बितेका कुराले
kehi chota lagda,केही चोट लाग्दा
timi tadha huda,तिमी टाढा हुँदा
dherai dukha lagcha,धेरै दुःख लाग्छ
kalpi kalpi roye bhane,कल्पी कल्पी रोएँ भने
timi kahile narunu,तिमी कहिल्यै नरुनू
kalpi kalpi roye bhane,कल्पी कल्पी रोएँ भने
timi kahile narunu,तिमी कहिल्यै नरुनू
milan nabhai bite bhane,मिलन नभइ बितेँ भने
timi bichalit nahunu,तिमी बिचलित नहुनू
milan nabhai bite bhane,मिलन नभइ बितेँ भने
timi bichalit nahunu,तिमी बिचलित नहुनू
Biteka kurale,बितेका कुराले
kehi chota lagda,केही चोट लाग्दा
timi tadha huda,तिमी टाढा हुँदा
dherai dukha lagcha,धेरै दुःख लाग्छ
malai jastai timilai pani,मलाई जस्तै तिमीलाई पनि
testai huna sakcha,त्यस्तै हुन सक्छ
malai jastai timilai pani,मलाई जस्तै तिमीलाई पनि
testai huna sakcha,त्यस्तै हुन सक्छ
meri mayalu meri mayalu,मेरी मायालु मेरी मायालु
meri mayalu meri mayalu,मेरी मायालु मेरी मायालु
Soche chau timro mero sambandha,सोचेछौ तिम्रो मेरो सम्बन्ध
Kati purano ho bhanera,कति पुरानो हो भनेर
Feri kina malai berthaima,फेरि किन मलाई ब्यर्थैमा
Metne kosish garchau harek din,मेट्ने कोशिस गर्छौ हरेक दिन
Hey maanis,हे मानिस
mero pani aatma cha,मेरो पनि आत्मा छ
Malai pani kate dukhcha,मलाई पनि काटे दुख्छ
Mero pani timro jastai man ho,मेरो पनि तिम्रो जस्तै मन हो
Malai pani jiuna deu,मलाई पनि जिउन देउ
Ma hu prakriti malai hasna deu,म हुँ प्रकृति मलाई हाँस्न देउ
Ma hu prakriti malai bachna deu,म हुँ प्रकृति मलाई बाँच्न देउ
Ma hu prakriti malai hasna deu,म हुँ प्रकृति मलाई हाँस्न देउ
Ma hu prakriti malai bachna deu,म हुँ प्रकृति मलाई बाँच्न देउ
Malai jati marchau,मलाई जति मार्छौ
tyatinai jhan marchau,त्यति नै झन मर्छौ
Kahile huri sanga,कहिले हुरीसँग
kahile pahiro sanga,कहिले पहिरोसँग
Hey maanis,हे मानिस
tyati pani bujdainau,त्यति पनि बुझ्दैनौ
Timro maan ho ki dhunga ho,तिम्रो मन हो कि ढुंगा हो
Mero pani timro jastai aatma ho,मेरो पनि तिम्रो जस्तै आत्मा हो
Malai pani ramna deu,मलाई पनि रम्न देउ
Ma hu prakriti malai hasna deu,म हुँ प्रकृति मलाई हाँस्न देउ
Ma hu prakriti malai bachna deu,म हुँ प्रकृति मलाई बाँच्न देउ
Ma hu prakriti malai hasna deu,म हुँ प्रकृति मलाई हाँस्न देउ
Ma hu prakriti malai bachna deu,म हुँ प्रकृति मलाई बाँच्न देउ
Ujaad mausamma,उजाड मौसममा
eklai bachnu parne mero jindagi,एक्लै बाँच्नुपर्ने मेरो जिन्दगी
Hawahuri sanga,हावाहुरीसँग
eklai parnu parne mero jindagi,एक्लै पर्नुपर्ने मेरो जिन्दगी
Hey maanis,हे मानिस
suna mero dhadkan,सुन मेरो धड्कन
Yo timro jastai dhadkincha,यो तिम्रो जस्तै धड्किन्छ
Ekchin pachi suna yasko aawaj,एकछिन पछि सुन यसको आवाज
Timlai sadhai daaki rahancha,तिमीलाई सधैं डाकी रहन्छ
Ma hu prakriti malai hasna deu,म हुँ प्रकृति मलाई हाँस्न देउ
Ma hu prakriti malai bachna deu,म हुँ प्रकृति मलाई बाँच्न देउ
Ma hu prakriti malai bachna deu,म हुँ प्रकृति मलाई बाँच्न देउ
Ma hu prakriti malai hasna deu,म हुँ प्रकृति मलाई हाँस्न देउ
Ma hu prakriti malai hasna deu,म हुँ प्रकृति मलाई हाँस्न देउ
Ma hu prakriti malai bachna deu,म हुँ प्रकृति मलाई बाँच्न देउ
Ma hu prakriti malai bachna deu,म हुँ प्रकृति मलाई बाँच्न देउ
Ma hu prakriti malai hasna deu,म हुँ प्रकृति मलाई हाँस्न देउ
Ma hu prakriti malai bachna deu,म हुँ प्रकृति मलाई बाँच्न देउ
Haa Haa Haaa Haaa,हा हा हा हा
Haa Haa Haaa Haaa,हा हा हा हा
Haa Haa Haaa Haaa,हा हा हा हा
Haa Haa Haaa Haaa,हा हा हा हा
Haa Haa Haaa Haaa,हा हा हा हा
Haa Haa Haaa Haaa,हा हा हा हा
Paari tyo dadama hera,पारी त्यो डाँडामा हेर
gham kati ghamailo,घाम लाग्यो घमाइलो
Lagyo malai ramailo,लाग्यो मलाई रमाइलो
Timi ra ma ghumna jaau na,तिमी र म घुम्न जाउँन
Ani gham le malai sataula,अनि घामले मलाई सताउला
Kali malai banaula,काली मलाई बनाउला
Timi pirati ko chata odau na,तिमी पिरतीको छाता ओढाउ न
Khola jastai bagau hami,खोला जस्तै बगौं हामी
pirati ko talai ma,पिरतीको तालैमा
machi marau jalaima,माछी मारौ जालैमा
huncha ki nai hunna vana na,हुन्छ कि नाइ हुन्न भनन
Ani jaal ma eklai parchau ki,अनि जालमा एक्लै पार्छौ कि
ajkalto mai chadchau ki,अच्कल्टो मै छाड्छौं कि
Sindur lauchau ki nai bhana na,सिन्दुर लाउँछौं कि नाई भनन
O baiguni,ओ बैगुनी
bhai maya namare ni kaile ho,भै माया नमारे नि कैले हो
O Nisthuri,ओ निष्ठूरी
bhai bhuli najanu ni kahile ho,भै भूली नजानु नि कहिले हो
O baiguni,ओ बैगुनी
bhai maya namare ni kaile ho,भै माया नमारे नि कैले हो
O Nisthuri,ओ निष्ठूरी
bhai bhuli najanu ni kahile ho,भै भूली नजानु नि कहिले हो
Ma pani k ma kaam chu ni,म पनि केमा कम छु नि
pakhuri ma daam cha ni,पाखुरीमा दम छ नि
sampati kamayincha ni,सम्पत्ति कमाइन्छ नि
sun chadi le timlai varula,सुनचाँदीले तिमीलाई भरौंला
Sun chadi chahindaina,सुनचाँदी चाहिंदैन
sampati lai aayindaina,सम्पत्तिलाई आइदैन
maya garchau ki nai vana na,माया गर्छौ कि नाई भनन
Paari tyo dadama hera,पारी त्यो डाँडामा हेर
gham kati ghamailo,घाम लाग्यो घमाइलो
Lagyo malai ramailo,लाग्यो मलाई रमाइलो
Timi ra ma ghumna jaau na,तिमी र म घुम्न जाउँन
Ani gham le malai sataula,अनि घामले मलाई सताउला
Kali malai banaula,काली मलाई बनाउला
Timi pirati ko chata odau na,तिमी पिरतीको छाता ओढाउ न
Timi pirati ko chata odau na,तिमी पिरतीको छाता ओढाउ न
Timi ra ma ghumna jau na,तिमी र म घुम्न जाउँ न
Timi pirati ko chata odau na,तिमी पिरतीको छाता ओढाउ न
Timi ra ma ghumna jau na,तिमी र म घुम्न जाउँ न
Timi pirati ko chata odau na,तिमी पिरतीको छाता ओढाउ न
Ye Malai Maya Garchhau Bhanne Hajura,ए मलाई माया गर्छु भन्ने हजुर
Kahile Kahi Maya Pani Dekhaune Gara,कहिले माया पनि देखाउने गर
Timro Tadako Mahi Pugena Malai,तिम्रो टाढाको म्वाइँ पुगेन मलाई
Baru Aai Sataune Gara,बरु आई मलाई सताउने गर
Ye Malai Maya Garchhau Bhanne Hajura,ए मलाई माया गर्छु भन्ने हजुर
Bhawanama Na Aau Timi,भावनामा नआऊ तिमी
Yadama Na Aau,यादमा नआऊ
Tanneriko Sapana Jastai Swadama Na Aau,तन्नेरीको सपनाजस्तै विस्वादमा नआऊ
Pritiko Phool Tipnu Parchha Bhane,प्रीतिको फूल टिप्नपर्छ भने
Kada Dekhi Darai Nabhagne Gara,काँडा देखि डराई नभाग्ने गर
Timro Tadako Mahi Pugena Malai,तिम्रो टाढाको म्वाइँ पुगेन मलाई
Baru Aai Sataune Gara,बरु आई मलाई सताउने गर
Ye Malai Maya Garchhau Bhanne Hajura,ए मलाई माया गर्छु भन्ने हजुर
Manchhe Ke Ke Bhanchhan Malai,मान्छे के के भन्छन् तिमीलाई
Maanle Je Je Bhanchha,मनले के के भन्छ
Sancho Kura Bhana Malai,साँचो कुरा भन मलाई
Ti Sabale Chinchha,एकदिन सबले सुन्छ
Nalukai Maanka Sara Bimbaharu,नलुकाई मनका सारा विम्बहरू
Maan Kholi Dekhaune Gara,मन खोली मलाई देखाउने गर
Timro Tadako Mahi Pugena Malai,तिम्रो टाढाको म्वाइँ पुगेन मलाई
Baru Aai Sataune Gara,बरु आई मलाई सताउने गर
Ye Malai Maya Garchhau Bhanne Hajura,ए मलाई माया गर्छु भन्ने हजुर
Mero desh Nepal dui deshharu dwara gherieko chha,मेरो देश नेपाल दुई देशहरु द्वारा घेरिएको छ
China uttarpatti awasthit chha ra paschim purva ra dakshin Bharatle dhakeko chha,चीन उतरपट्टि अवस्थित छ र पश्चिम पुर्व र दक्षिण भारतले ढाकेको छ
Yo uttari golarddhama chha,यो उत्तरी गोलार्द्धमा छ
Hamro desh tin bhaugolik kshetraharu chhan,हाम्रो देश तीन भौगोलिक क्षेत्रहरू छन्
Himalaya parbatiya ra tarai,हिमालय पर्वतीय र तराई
Hamro deshma jadoma dherai chiso ra sukhha hunchha ra garmima andhibehari barsha ra badhipahiro hunachhan,हाम्रो देशमा जाडोमा धेरै चिसो र सुख्खा हुन्छ र गर्मीमा आँधीबेहरी बर्षा र बाढिपहिरो हुनछन्
Yo prakritik saundarya ra srotaharu ma dhani chha,यो प्राकृतिक सौन्दर्य र स्रोतहरु मा धनी छ
Yasma Koshi Gandaki ra Karnali jasta lamo ra chaunda nadiharu chhan,यसमा कोशी गण्डकी र कर्णाली जस्ता लामो र चौंडा नदीहरू छन्
Hamisanga Rupa Beganas ra Rara jasta thula talharu chhan,हामीसँग रुपा बेगनास र रारा जस्ता ठूला तालहरू छन्
Hamisanga hariyo upatyaka sundar pani jharna aadi chha,हामीसँग हरियो उपत्यका सुन्दर पानी झरना आदि छ
Yo dharmik ra aitihasik sampadama dhani chha,यो धार्मिक र ऐतिहासिक सम्पदामा धनी छ
Lumbini Gorkha Janakpur Kathmandu prakhyat udaharanaharu hun,लुम्बिनी गोरखा जनकपुर काठमाडौं प्रख्यात उदाहरणहरू हुन्
Nepal atyadhik vividh ra dhani bhugol sanskriti ra dharmharuko desh ho,नेपाल अत्यधिक विविध र धनी भूगोल संस्कृति र धर्महरूको देश हो
Himali uttarma vishwaka chaudha uchchatam pahadharumaddhye aath chhan,हिमाली उत्तरमा विश्वका १४ उच्चतम पहाडहरूमध्ये आठ छन्
Sabha bhanda aglo Sagarmatha Angrejima Mount Everest ko rupma chininchha,सब भन्दा अग्लो सगरमाथा अंग्रेजीमा माउन्ट एभरेष्टको रूपमा चिनिन्छ
Urvara ra ardra dakshin kshetra sahari chha,उर्वर र आर्द्र दक्षिणी क्षेत्र शहरी छ
Yaha dherai jati ra dharmaka manis baschan,यहाँ धेरै जाति र धर्मका मानिस बस्छन्
Lagbhag saya bhashaharu bolinchhan,लगभग सय भाषाहरु बोलिन्छन्
Hamro lokapriya khanaharu dal bhat dindo gunrdruk ityadi hun,हाम्रो लोकप्रिय खानाहरू दाल भाट डिन्डो गुनर्दुक इत्यादि हुन्
Dashain Tihar Losar aadi sabhaibhanda lokapriya chadparvaharu hun,दशैं तिहार लोसार आदि सबैभन्दा लोकप्रिय चाडपर्वहरू हुन्
Nepal sano chha tara prakritik srotsadhanma dhani chha tara arthik awasthale garda garib chha,नेपाल सानो छ तर प्राकृतिक स्रोतसाधनमा धनी छ तर आर्थिक अवस्थाले गर्दा गरीब छ
Nepal vikaasonmukh desh ho,नेपाल विकासोन्मुख देश हो
Chado nai vikas garnaka lagi aajdekhi hamile deshko sabai nagarikta bare sachet hunupardhachha,चाँडै नै विकास गर्नका लागि आजदेखि हामीले देशको सबै नागरिकता बारे सचेत हुनुपर्दछ
Purush ra mahila dubai saman hun ra shiksha pradan gardachha,पुरुष र महिला दुबै समान हुन र शिक्षा प्रदान गर्दछ
Sarkarle agrim karyakram lyaunu pardachha ra nagarik ra sarkar dubailai faida puryaune bibhinna suvidha pradan gari nagariklai sahayog garnupardachha,सरकारले अग्रिम कार्यक्रम ल्याउनु पर्दछ र नागरिक र सरकार दुबैलाई फाइदा पुर्‍याउने बिभिन्न सुविधा प्रदान गरी नागरिकलाई सहयोग गर्नुपर्दछ
Nepal ek sundar desh ho,नेपाल एक सुन्दर देश हो
Tyasobhaye hamile yaslai vishwabhar prakashit garnuparnechha,त्यसोभए हामीले यसलाई विश्वभर प्रकाशित गर्नुपर्नेछ
Jun pratyaksha wa apratyaksha rupma paryataklai aakarshit garna maddhat gardachha,जुन प्रत्यक्ष वा अप्रत्यक्ष रूपमा पर्यटकलाई आकर्षित गर्न मद्दत गर्दछ
Ra hami aafno arthik awastha niyantran garna sakchau,र हामी आफ्नो आर्थिक अवस्था नियन्त्रण गर्न सक्छौं
Saphalata hamra balharu vikas garera prapta hunchha,सफलता हाम्रा बलहरू विकास गरेर प्राप्त हुन्छ
Hamra kamajoriharu hataera hoina,हाम्रा कमजोरीहरू हटाएर होइन
Prakritima sahaj rupma paine manisbata nabanaeka vastu prakritik sampada hun,प्रकृतिमा सहज रूपमा पाइने मानिसबाट नबनाइएका वस्तु प्राकृतिक सम्पदा हुन्
Hamro desh Nepal ho,हाम्रो देश नेपाल हो
Yo deshko bhugolma prakritibata jejasta vastuharu nishulka rupma hamile prapta gareka chau tinlai prakritik sampada bhaninchha,यो देशको भूगोलमा प्रकृतिबाट जेजस्ता वस्तुहरू निःशुल्क रूपमा हामीले प्राप्त गरेका छौं तिनलाई प्राकृतिक सम्पदा भनिन्छ
Ajha spashta shabdama bhanda Nepalma paine himal pahad tarai taramandal nadinala taltalaiya upatyaka jharna jal vayu khanij padartha jivjantu vanaspati nai hamra prakritik sampada hun,अझ स्पष्ट शब्दमा भन्दा नेपालमा पाइने हिमाल पहाड तराई तारामण्डल नदीनाला तालतलैया उपत्यका झरना जल वायु खनिज पदार्थ जीवजन्तु वनस्पति नै हाम्रा प्राकृतिक सम्पदा हुन्
Yi prakritik sampada Nepalko akshaya bhandar hun,यी प्राकृतिक सम्पदा नेपालको अक्षय भण्डार हुन्
Yi prakritik sampadabata manisle ekatir bharpura manoranjan prapta gareka chhan bhane arkotir manisko mihineta paurakh buddhi kshamata yasma pokhinda yinaibata manisle jibanma pran dhanta rogko upchar garna bideshi mudra arjan gari arthoparjan garna saksham baneka chhan,यी प्राकृतिक सम्पदाबाट मानिसले एकातिर भरपुर मनोरञ्जन प्राप्त गरेका छन् भने अर्कोतिर मानिसको मिहिनेत पौरख बुद्धि क्षमता यसमा पोखिंदा यिनैबाट मानिसले जीवनमा प्राण धान्त रोगको उपचार गर्न विदेशी मुद्रा आर्जन गरी अर्थोपार्जन गर्न सक्षम बनेका छन्
Yasari prakritik sampada manislai sukhko barsha garaune sampattiko rupma raheko chha,यसरी प्राकृतिक सम्पदा मानिसलाई सुखको वर्षा गराउने सम्पत्तिको रूपमा रहेको छ
Yahi manisko jibanma upayog hune ra Nepalma payane prakritik sampadako barema yaha ullekh garieko chha,यही मानिसको जीवनमा उपयोग हुने र नेपालमा पायने प्राकृतिक सम्पदाको बारेमा यहाँ उल्लेख गरिएको छ
Pani vishwakai pranilai banchanka lagi nabhai nahune dainik upabhogma parne prakritik sampada ho,पानी विश्वकै प्राणीलाई बाँच्नका लागि नभई नहुने दैनिक उपभोगमा पर्ने प्राकृतिक सम्पदा हो
Yasko prayog pyas metna sharir ra lugaka mayal milkauna sinchai garna ra bijuli utpadanma bhaeko chha,यसको प्रयोग प्यास मेट्न शरीर र लुगाका मयल मिल्काउन सिंचाइ गर्न र विजुली उत्पादनमा भएको छ
Nepalma paniko strot Asia mahadeshma nai pahilo ra vishwama Brazil pachadiko dosro sthanma raheko chha,नेपालमा पानीको स्रोत एसिया महादेशमा नै पहिलो र विश्वमा ब्राजिल पछाडिको दोस्रो स्थानमा रहेको छ
Nepalko himal pahadma nagabeli bani bagne Trishuli Karnali Mashyangdi Kali Gandaki Arun Tamor jasta nadi paniko pramukhk bhandar hun,नेपालको हिमाल पहाडमा नागबेली बनी बग्ने त्रिशुली कर्णाली मस्याङ्दी काली गण्डकी अरुण तमोर जस्ता नदी पानीका प्रमुख भण्डार हुन्
Yaslai prayog gari bijuli utpadan garna sake Nepalko arthik sthiti baliyo hune dekhinchha,यसलाई प्रयोग गरी बिजुली उत्पादन गर्न सके नेपालको आर्थिक स्थिति बलियो हुने देखिन्छ
Nepalko arko mahattwapurna prakritik sampada himalaya shrinkhalaharu hun,नेपालको अर्को महत्त्वपूर्ण प्राकृतिक सम्पदा हिमालय श्रृङ्खलाहरू हुन्
Nepalko uttar dishama purvadekhi paschimsamda paredka sipahi himali shrinkhala ubhieka chhan,नेपालको उत्तर दिशामा पूर्वदेखि पश्चिमसम्म परेडका सिपाही हिमाली श्रृंखला उभिएका छन्
Vishwako sarvochcha shikhar Sagarmatha Nepalko mahattwapurna prakritik sampada ho,विश्वको सर्वोच्च शिखर सगरमाथा नेपालको महत्वपूर्ण प्राकृतिक सम्पदा हो
Yasko sathai Annapurna Kanchanjangha Lotse Manaslu Yalungkad Makalu Machapuchhre aadi himalaharu pani Nepalma chhan,यसका साथै अन्नपूर्ण कञ्चनजङ्घा लोत्से मनासलु यालुङकाड मकालु माछापुच्छे आदि हिमालहरू पनि नेपालमा छन्
Hamro deshko himalma phalam sun chandi abhrakh chunadhunga sisa gandhak marble soda sidhenaun birenaun khari aadika khani chhan,हाम्रो देशको हिमालमा फलाम सुन चाँदी अभ्रख चुनढुङ्गा सिसा गन्धक मार्बल सोडा सिधेनुन विरेनुन खरी आदिका खानी छन्
Yaha yarchagumba jasta prakritik jadibuti chhan bhane yak yeti chauri gai kasturi jasta jantu pani raheka chhan,यहाँ यार्चागुम्बा जस्ता प्राकृतिक जडिबुटी छन् भने याक यति चौरी गाई कस्तुरी जस्ता जन्तु पनि रहेका छन्
Yinle Nepalko gaurav badhaunu ka sathai yinko sadupayog garna sakeko khandama Nepal vishwakai dhani rashtrako paktima parna sakne sambhavana pani chha,यिनले नेपालको गौरव बढाउनुका साथै यिनको सदुपयोग गर्न सकेको खण्डमा नेपाल विश्वकै धनी राष्ट्रको पक्तिमा पर्न सक्ने सम्भावना पनि छ
Taltalaiya ra jharnharu pani Nepalka prakritik sampada hun,तालतलैया र झरनाहरू पनि नेपालका प्राकृतिक सम्पदा हुन्
Nepali bhumima se Phoksundo Chhhorolpa Tilicho Rara jasta tanharu chhan jasle tyaha pugne pratyek paryataklai swarga pugeko aabhas dieko chha,नेपाली भूमिमा से फोक्सुन्डो च्छोरोल्पा तिलिचो रारा जस्ता तानहरू छन् जसले त्यहाँ पुग्ने प्रत्येक पर्यटकलाई स्वर्ग पुगेको आभास दिएको छ
Nepalko Pokharama Phewatal Beganastal raheka chhan bhane Surkheta Bulbule tal Chitwanma Nandbhauju Kasara Gadwal Tamorhaila jasta talharu raheka chhan,नेपालको पोखरामा फेवाताल वेगनासताल रहेका छन् भने सुर्खेतमा बुलबुले ताल चितवनमा नन्दभाउजू कसरा गडवाल तमोरघैला जस्ता तालहरू रहेका छन्
Yi tan hernaka lagi matra ramra chhainan nauka vihar garna jal vihar garna pani upayukta chhan,यी तान हेर्नका लागि मात्र राम्रा छैनन् नौका विहार गर्न जल बिहार गर्न पनि उपयुक्त छन्
Hariyo van pani Nepalko prakritik sampada ho,हरियो वन पनि नेपालको प्राकृतिक सम्पदा हो
Yaha bibhinna prajatika rukhaharu painchha,यहां विभिन्न प्रजातिका रूखहरू पाइन्छ
